name,type,country,corridors,description
"Association of Indian Medical Device Industry (AiMeD)","Industry Body","IN","ai_medtech","AiMeD is the umbrella industry association for Indian medical device manufacturers."
"Asteria Aerospace","Private Company","IN","defence","Drone software / data platform (Reliance-owned). Based in Bengaluru, Karnataka; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Astra Microwave Products Limited","Private Company","IN","defence","Astra Microwave; Hyderabad-listed; RF/microwave subsystems, GaN modules, radar components; BEL/HAL/DRDO supplier."
"AT&S","Foreign Supplier","AT","semiconductors","European IC substrate supplier; ABF and mSAP"
"AT&S Austria Technologie & Systemtechnik","Foreign Supplier","AT","semiconductors","Austrian IC substrate maker; mSAP technology"
"AT&S India","Private Company","AT","ai_medtech; semiconductors","AT&S operates a major PCB manufacturing facility in Nanjangud, Karnataka — India's largest PCB plant with new IC substrate capacity."
"AT&S India — Nanjangud Plant","Private Company","IN","semiconductors","AT&S India Nanjangud: India's first manufacturer of High Frequency and High Density Interconnect PCBs"
"Atotech India (MKS)","Foreign Supplier","DE","semiconductors","Plating equipment for IC substrates"
"Attero Recycling Private Limited","Private Company","IN","critical_minerals","Major e-waste/Li-ion recycler; patented hydromet black-mass processing recovering Li/Ni/Co/REE."
"Atul Limited — Specialty Chemicals","Private Company","IN","semiconductors","Indian specialty resins; potential photoresist resin precursor"
"Australia","Country","AU","critical_minerals","Strategic partner for India's overseas critical-mineral sourcing."
"Avalon Technologies","Private Company","IN","ai_medtech; semiconductors","Avalon Technologies provides EMS and precision manufacturing for medical devices."
"AWS Asia Pacific (Hyderabad)","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"AWS Asia Pacific (Mumbai)","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"Ayushman Bharat Digital Mission (ABDM)","Scheme / Programme","IN","ai_medtech","National digital-health interoperability layer (ABHA, HFR, HPR)."
"Azad Engineering Limited","Private Company","IN","defence","Azad Engineering; Hyderabad-listed (Jan 2024); aero-engine fan blades and HPT blades; customers include GE, Boeing, Rolls-Royce, Safran."
"Azenta (formerly Brooks Automation)","Foreign Supplier","US","semiconductors","Wafer handling and automation"
"Azure Central India (Pune)","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"Azure South India (Chennai)","Facility / Plant","IN","enterprise_software","Referenced in Atlas relationships."
"BASF SE — Electronic Materials","Foreign Supplier","DE","semiconductors","Major chemical supplier; electronic materials portfolio"
"Battery-grade Lithium Refining","Industrial Process","IN","critical_minerals","Conversion of lithium concentrate/brine into battery-grade lithium carbonate/hydroxide."
"Battrixx (Kabra Extrusiontechnik)","Private Company","IN","defence","Battery packs. Based in Pune, Maharashtra; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Besi — BE Semiconductor Industries","Foreign Supplier","NL","semiconductors","Die bonding equipment leader; hybrid bonding"
"Bharat Dynamics Limited","PSU / CPSE","IN","defence","Sole DPSU missile-integration prime — Akash, Astra, QRSAM, ATGMs; core node for guided-munitions stockpile."
"Bharat Electronics Limited","PSU / CPSE","IN","defence","Dominant defence-electronics prime — radar, EW, fire-control, SAM electronics; load-bearing for nearly every system."
"Bharat Electronics Limited — Test Lab","PSU / CPSE","IN","semiconductors","BEL: defence electronics test lab"
"Bharat Electronics Limited (BEL) — Test Lab","PSU / CPSE","IN","semiconductors","BEL test lab: defence electronics testing; collaboration with Tata Electronics for semiconductor fabrication"
"Bharat Forge Limited (Kalyani Strategic Systems)","Private Company","IN","defence","Private artillery/forgings prime; lead ATAGS supplier, AMCA consortium lead; controls gun-forging/barrel capacity."
"BharatGen","Research Institution","IN","ai_infrastructure","IndiaAI-Mission-funded sovereign LLM consortium (Param series, incl. a 17B MoE model, ~Rs 900 crore)."
"BharatGen IIT Bombay Consortium","Research Institution","IN","ai_infrastructure","BharatGen is a government-funded multimodal LLM initiative led by IIT Bombay's TIH Foundation under NM-ICPS/DST, focused on Indian languages, speech,"
"Bharti Airtel Limited","Private Company","IN","ai_infrastructure","Owns Nxtra and Mumbai/Chennai cable landings (2Africa Pearls, SEA-ME-WE-6); a subsea-landing chokepoint."
"Big Bang Boom Solutions","Private Company","IN","defence","Counter-UAS / defence tech. Based in Chennai, Tamil Nadu; stage: Startup. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"BLDC drone motors","Product / Component","IN","defence","Brushless DC motors for UAV propulsion, dependent on sintered NdFeB magnets. DSI risk: India lacks a domestic motor base at drone grade. Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Boeing","Foreign Supplier","US","defence","Referenced in Defence Atlas relationships."
"Boeing Defense","Foreign Supplier","US","defence","Boeing Defense; AH-64E Apache, CH-47F Chinook, P-8I Poseidon; ~$20 bn cumulative India book."
"BPL Medical Technologies","Private Company","IN","ai_medtech","BPL official site describes product portfolio; long-established Indian MedTech manufacturer."
"BrahMos Aerospace","Joint Venture","IN","defence","BrahMos Aerospace; Indo-Russian JV (DRDO 50.5%, NPO Mashinostroyenia 49.5%); supersonic cruise missile (~Mach 2.8)."
"BrahMos Aerospace Private Limited","Joint Venture","IN","defence","India-Russia supersonic cruise-missile JV; India's flagship strike-missile and export node."
"BrainSTEM Technologies","Private Company","IN","ai_medtech","BrainSTEM site describes EEG analysis; limited corroboration — candidate for Research Leads."
"Broadcom","Foreign Supplier","US","ai_medtech","Broadcom is a key AI-networking and custom-silicon supplier, relevant to Ethernet fabrics and hyperscaler ASIC programmes."
"Broadcom Inc.","Private Company","US","enterprise_software","Referenced in Atlas relationships."
"Bureau of Indian Standards (BIS)","Govt Body / Regulator","IN","semiconductors","India's national standards body; issues IS standards and enforces QCOs relevant to semiconductors."
"Bureau Veritas India","Private Company","IN","semiconductors","Bureau Veritas India: inspection and testing"
"BYD","Foreign Supplier","CN","critical_minerals","Battery cells and EVs. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"C-DAC — Test Engineering","Research Institution","IN","semiconductors","C-DAC: test engineering and VLSI R&D"
"C-DAC ChipIN Centre Bengaluru","Research Institution","IN","semiconductors","ChipIN Centre: C-DAC Bengaluru; multi-project wafer (MPW) service for fabless chip design; supports DLI/C2S"
"C-DAC Thiruvananthapuram — VLSI Design Centre","Research Institution","IN","semiconductors","C-DAC Thiruvananthapuram: VLSI ASIC design from concept to silicon; VEGA microprocessor development"
"C-DAC Trivandrum — VEGA Microprocessor","Research Institution","IN","semiconductors","C-DAC Thiruvananthapuram: VEGA microprocessor development; VLSI ASIC design"
"C-MET Hyderabad","Research Institution","IN","semiconductors","C-MET Hyderabad: materials R&D and characterisation"
"C-MET Pune","Research Institution","IN","semiconductors","C-MET Pune: materials R&D and characterisation"
"C4ISR & network-centric software","Technology","IN","defence","Systems-integration and battle-management software a domestic strength."
"Cabot Microelectronics (CMC Materials / Entegris)","Foreign Supplier","US","semiconductors","Major CMP slurry supplier"
"Cadence Design Systems","Foreign Supplier","US","semiconductors","EDA, ~30% market share. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Cadence India","Foreign Supplier","US","semiconductors","Top EDA supplier; major India R&D"
"CAMYEN Catamarca Lithium Blocks (5)","Mine","AR","critical_minerals","Five brine-type lithium blocks (Cortadera-I, Cortadera-VII, Cortadera-VIII, Cateo-2022-01810132, Cortadera-VI) totalling 15,703 hectares in Catamarca"
"CAMYEN SE","Foreign Supplier","AR","critical_minerals","Catamarca state miner; KABIL's counterparty on India's first sovereign overseas lithium asset (5 blocks)."
"Canon Inc. — Semiconductor Equipment","Foreign Supplier","JP","semiconductors","i-line and KrF lithography for mature nodes"
"Canon Medical Systems India","Private Company","JP","ai_medtech","Canon Medical India site describes AiCE deep learning reconstruction."
"Captive and renewable power for data centres (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Captive and renewable power for data centres is an AI Infrastructure opportunity surface in corridor 3."
"Carbon fibre (PAN-based)","Mineral / Material","JP","defence","Carbon fibre; missile/airframe composite; Toray (JP), Hexcel (US), SGL (DE) dominate; MIDHANI pilot."
"Carl Zeiss","Foreign Supplier","DE","ai_medtech","Medical optics and ophthalmic imaging systems."
"CATL","Foreign Supplier","CN","critical_minerals","Battery cells; the world's largest lithium-ion cell maker. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"CDSCO","Govt Body / Regulator","IN","ai_medtech","Central Drugs Standard Control Organisation — India medical-device regulator (MDR 2017); issued Medical Device Software guidance 21 Jul 2026."
"CEMILAC","Govt Body / Regulator","IN","defence","Centre for Military Airworthiness and Certification (DRDO); certifies military UAS airworthiness."
"Centre for Development of Advanced Computing","Research Institution","IN","semiconductors","MeitY R&D body; nodal agency for DLI and the cloud EDA/IP 'ChipIN' gateway for fabless startups."
"Centre for Development of Advanced Computing (C-DAC)","Research Institution","IN","ai_medtech; semiconductors","C-DAC official site describes health-tech R&D initiatives."
"Centum Electronics","Private Company","IN","ai_medtech; defence","Electronics / subsystems. Based in Bengaluru, Karnataka; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"CERT-In Cyber Security Directions (28 April 2022)","Standard / Certification","IN","enterprise_software","6-hour cyber-incident reporting, VPN KYC, on-soil log retention for Indian entities."
"CG Power and Industrial Solutions Limited","Private Company","IN","semiconductors","Murugappa/TII-owned promoter holding ~92.3% of CG Semi; domestic anchor of a Sanand OSAT."
"CG Semi Private Limited","Joint Venture","IN","semiconductors","CG Power-led Sanand OSAT JV (CG/Renesas/Stars); ramping to 15M units/day."
"CG Semi Pvt Ltd (CG Power + Renesas JV)","Joint Venture","IN","semiconductors","CG Power + Renesas + Stars Microelectronics JV; Sanand OSAT"
"CG Semi Sanand OSAT","Facility / Plant","IN","semiconductors","CG Power, Renesas and Stars Microelectronics backend facility in Gujarat."
"Chargebee","Private Company","IN","enterprise_software","Indian subscription-revenue-management SaaS; ~USD 3.5bn valuation. Chennai-origin."
"China","Country","CN","critical_minerals","Strategic-intelligence chokepoint for critical-mineral refining."
"China Northern Rare Earth Group","Foreign Supplier","CN","critical_minerals","Rare-earth mining and magnet feedstock; anchors China's ~90% share of global NdFeB. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Chips to Startup (C2S) Programme","Scheme / Programme","IN","semiconductors","MeitY programme for VLSI training, design, and startup enablement across 100+ academic institutions."
"CMP slurries and pads","Mineral / Material","","semiconductors","Chemical-mechanical planarisation consumables. Import-dependent; a Tier-2 invest-now materials opportunity."
"Coal India Limited (CIL)","PSU / CPSE","IN","critical_minerals","World's largest coal miner (PSU). Won the Kawalapur Rare Earth Elements block in Maharashtra under Composite Licence in April 2025."
"Cobalt","Mineral / Material","IN","critical_minerals","Battery cathode stabiliser. China refines 78% of global cobalt (2024, up from 74% in 2023)."
"Cobalt Sulphate Refining","Industrial Process","IN","critical_minerals","Conversion of cobalt hydroxide / crude metal into battery-grade cobalt sulphate. China refines 78% of global cobalt (IEA, 2024)."
"Cochin Shipyard Limited","PSU / CPSE","IN","defence","Builder of the indigenous aircraft carrier Vikrant; the only Indian yard proven on carrier integration."
"Cohizon Life Sciences (formerly Sajjan India Ltd.)","Private Company","IN","semiconductors","Cohizon: electronic chemicals CDMO; agrochemicals, electronic chemicals, specialty chemicals"
"Combat Vehicles Research and Development Establishment","Research Institution","IN","defence","CVRDE; Chennai; Arjun MBT, Arjun Mk-1A, T-90 Bhishma upgrades, BMP variants."
"Comet Group","Foreign Supplier","CH","ai_medtech","Industrial and medical X-ray tube manufacturer."
"Container Corporation of India Ltd (CONCOR)","PSU / CPSE","IN","semiconductors","CONCOR: PSU for bonded warehousing and rail logistics"
"Continental Device India Limited","Private Company","IN","semiconductors","India's oldest semiconductor maker; Mohali expansion for high-power discretes (MOSFETs, IGBTs, SiC)."
"Continental Device India Pvt. Ltd. (CDIL)","Private Company","IN","semiconductors","CDIL: India's pioneer semiconductor manufacturer since 1964; ISM-approved expansion at Mohali"
"Cooled IR focal-plane arrays","Technology","IN","defence","Near-total import of cooled IR FPAs. A foundational sensor chokepoint."
"Copper","Mineral / Material","IN","critical_minerals","Conductor for electrification (EVs, grid, renewables)."
"Counter-UAS / anti-drone systems","Technology","IN","defence","Active operational pull post-Op Sindoor; soft-kill strong, DEW hard-kill emerging."
"CoWoS advanced packaging","Technology","TW","ai_infrastructure","CoWoS advanced packaging is a critical package-integration route for high-end AI accelerators."
"Critical Mineral Recycling / Urban Mining","Industrial Process","IN","critical_minerals","Recovery of critical minerals from fly ash, tailings, red mud and end-of-life products (e-waste, spent batteries)."
"Critical Mineral Recycling Incentive Scheme","Scheme / Programme","IN","critical_minerals","Outlay Rs.1,500 crore, 6-year tenure (FY 2025-26 onwards), issued by the Ministry of Mines. Cabinet-approved on 3 Sep 2025."
"Critical Minerals Facilitation Office (Australia)","Govt Body / Regulator","AU","critical_minerals","Australian govt office; KABIL counterparty under the India-Australia Critical Minerals Investment Partnership."
"Cryoin Engineering","Foreign Supplier","UA","semiconductors","Ukrainian rare gas supplier"
"Crystal Matrix Limited","Private Company","IN","semiconductors","Approved (2026) for India's first commercial Mini/Micro-LED GaN display + GaN foundry at Dholera."
"CSIR-CECRI Karaikudi","Research Institution","IN","semiconductors","CSIR-CECRI: electrochemicals and materials R&D"
"CSIR-IMMT Bhubaneswar","Research Institution","IN","semiconductors","CSIR-IMMT: materials and mineral processing; Bhubaneswar"
"CSIR-NAL Bengaluru","Research Institution","IN","semiconductors","CSIR-NAL: materials testing and failure analysis; TEM, SEM capability"
"CSIR-NCL Pune","Research Institution","IN","semiconductors","CSIR-NCL: polymers and advanced materials characterisation"
"CtrlS Datacenters","Private Company","IN","","CtrlS is an Indian data-centre operator with a large footprint across Mumbai, Chennai, Hyderabad, Noida, Bengaluru, Kolkata and edge sites."
"CtrlS Datacenters Limited","Private Company","IN","ai_infrastructure","Largest Indian-owned Rated-4 colocation operator; IndiaAI-empanelled domestic-controlled hyperscale capacity."
"CUAV","Foreign Supplier","CN","defence","Flight controllers / autopilot hardware (open-source ecosystem). Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Cyient (Cyient DLM)","Private Company","IN","ai_medtech","Cyient DLM provides medical-grade EMS in Hyderabad and Bengaluru."
"Cyient DLM","Private Company","IN","semiconductors","Indian EMS with defence focus"
"D-Propulse","Private Company","IN","defence","IIT Madras-incubated defence-propulsion startup, chaired by former DRDO chief Dr V. K. Saraswat. In 2026 hot-fired India's first indigenous 5 kN air-breathing Rotating Detonation Engine (with aerospike nozzle) to TRL-5 at DRDO's DRDL, Hyderabad; targeting a flight-ready engine by"
"Darwinbox","Private Company","IN","enterprise_software","Indian HR-tech SaaS unicorn; revenue ~Rs 393 cr FY24 (+58%). Domestic alternative to Workday/SAP HCM."
"Dassault Aviation","Foreign Supplier","FR","defence","Rafale OEM; 26 Rafale-Marine signed 2025; France now India's #2 arms supplier."
"Data Patterns (India) Limited","Private Company","IN","defence","Defence electronics. Based in Chennai, Tamil Nadu; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Data-centre build-out (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Data-centre build-out is an AI Infrastructure opportunity surface in corridor 3."
"Data-centre electrical and mechanical components (opportunity surface)","Opportunity surface","IN","ai_infrastructure","Data-centre electrical and mechanical components is an AI Infrastructure opportunity surface in corridor 3."
"DeepTek.ai","Private Company","IN","ai_medtech","DeepTek official website describes Augmento radiology platform; ET Tech reported USD 4.25M Series A in May 2022 led by Avaana Capital."
"Defence Acquisition Council","Govt Body / Regulator","IN","defence","DAC under MoD; approves capital acquisitions above thresholds; chaired by Raksha Mantri."
"Defence Acquisition Procedure 2020","Standard / Certification","IN","defence","DAP 2020; governs capital procurement; introduced Buy(Indian-IDDM), Make-I/II, Strategic Partnership model."
"Defence Avionics Research Establishment","Research Institution","IN","defence","DARE; Bengaluru; EW suites (Tarang RWR, Mayavi SPJ), mission computers, avionics for LCA/Su-30."
"Defence Research and Development Laboratory","Research Institution","IN","defence","DRDL; Hyderabad; Akash SAM, Astra BVR, BrahMos, strategic systems integration."
"Defence Research and Development Organisation","Research Institution","IN","defence","Apex defence-design/IP authority (~50 labs); designs the systems DPSUs build; holds indigenous GaN/SiC breakthrough."
"Defence Semiconductor / GaN-SiC Capability (chokepoint)","Technology","IN","defence; semiconductors","The sensor/EW chokepoint — GaN/SiC RF chips for radar/EW/missiles; DRDO cracked indigenous GaN at pilot scale in 2026."
"Defence-grade semiconductors","Technology","IN","semiconductors","Rad-hard / trusted chips imported; ISM fabs not yet at defence node maturity."
"Department of Atomic Energy (DAE)","Govt Body / Regulator","IN","critical_minerals","Parent of IREL (India) Limited. Holds policy control over monazite, thorium and rare-earth-bearing minerals due to their thorium content."
"Department of Defence Production","Govt Body / Regulator","IN","defence","MoD department administering DPSUs, indigenisation lists and iDEX; owner of the production/export value targets."
"Department of Defence Research and Development","Govt Body / Regulator","IN","defence","DDR&D under MoD; headed by DRDO Chairman; runs strategic research and development."
"Department of Military Affairs","Govt Body / Regulator","IN","defence","DMA created 2019; Chief of Defence Staff as secretary; tri-service integration and civil-military coordination."
"Design Linked Incentive (DLI) Scheme","Scheme / Programme","IN","semiconductors","MeitY/ISM scheme offering incentives and design infrastructure for semiconductor design startups and MSMEs."
"Design Linked Incentive Scheme","Scheme / Programme","IN","semiconductors","Sole structured funding channel for India's fabless/IP layer; 24 projects, 16 tape-outs by 2026."
"Dhaksha Unmanned Systems","Private Company","IN","defence","Defence / agri UAVs (Coromandel-backed). Based in Chennai, Tamil Nadu; stage: Growth. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"DHL Global Forwarding India","Private Company","IN","semiconductors","DHL Global Forwarding India: hazmat and bonded warehousing for semiconductor imports"
"Digital Personal Data Protection Act, 2023","Standard / Certification","IN","enterprise_software","India's horizontal data-protection statute; Presidential assent 11 Aug 2023."
"Digital Personal Data Protection Rules, 2025","Standard / Certification","IN","enterprise_software","Operational rules under the DPDP Act; notified 13 Nov 2025."
"Directorate General of Civil Aviation","Govt Body / Regulator","IN","defence","India's civil-aviation regulator; administers the Drone Rules 2021, drone type certification and the UIN registry (38,575 drones registered as of Feb 2026)."
"DISCO Corporation","Foreign Supplier","JP","semiconductors","Dominant dicing and grinding equipment supplier"
"Dixon Technologies","Private Company","IN","ai_medtech; semiconductors","EMS / components. Based in Noida, Uttar Pradesh; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Dixon Technologies India Ltd","Private Company","IN","semiconductors","Indian EMS major; potential OSAT candidate"
"DJI","Foreign Supplier","CN","defence","Finished drones; ~70% of the global commercial and >90% of the consumer market. Mapped in the China supply-chain appendix of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Docturnal","Private Company","IN","ai_medtech","Docturnal official site describes TimBre cough-based TB screening; USAID India has supported innovation engagements."
"Drone battery packs","Product / Component","IN","defence","Li-ion/Li-Po packs with BMS assembled for UAVs; India packs domestically but imports nearly all cells (~84% of Li-ion cell imports from China, FY25-26 customs). Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Drone flight controller","Product / Component","IN","defence","The drone's autopilot computer (MCU/SoC + IMU + firmware). ~90% of small-drone flight controllers are Chinese-sourced; DSI risk rank 4 (India 33 vs China 90). Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
"Drone microcontrollers and SoCs","Product / Component","IN","defence","MCUs/SoCs (STM32-class and above) for flight control and companion computing; wholly imported. DSI risk rank 3. Catalogued in Who Builds India's Drones? (Techadyant Labs, 2026)."
